Component,Failure,DefectivePart,PartsReplaced,Cost,DealerComment_English
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,MONITOR,0,302.5,"RECL Failure of the radio REASON Faulty contact on the electrical power supply on the radio CORRECTION Plug contacts on the connector replaced, wiring changed"
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,MONITOR,0,234.324325,COMPLAINT SOMETIMES THE CAR RADIO TURNS OFF BY ITSELF AND RESTARTS CAUSE FALSE CONTACT IN THE RADIO POWER SOCKET CORRECTION TROUBLESHOOTING REMOVE / INSTALL THE RADIO CHECK THE SOCKETS REPAIR THE CABLE CHECK AND TEST
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,108,COMPLAINT RADIO BLOCKS NOW AND THEN & SOMETIMES NO SIGNAL CAUSE RADIO SOFTWARE UPDATE CORRECTION DIAGNOSIS; CHECK WIRING & FUSES; UPDATE DOWNLOAD IWD; PUT UPDATE ON VEHICLE; AFTER CHECK; --> EVERYTHING IS OK
DAB RADIO BLUETOOTH,DEFECT,MONITOR,1,1324.729731,"COMPLAINT RADIO BLOCKS, DOES DOWNLOADS CAUSE FAULTY RADIO CORRECTION TROUBLESHOOTING CHECK ANTENNA REPLACE MONITOR TEST"
DAB RADIO BLUETOOTH,NO WARNING,MONITOR,0,121.95,"RECL RADIO HANGS UP, REASON RADIO SOFTWARE ERROR CORRECTION UDT UPDATE PERFORMED"
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,ELECTR. CONTR. UNIT,0,266.486484,"RECL Radio faulty REASON Radio software update not up to date CORRECTION Check radio, keeps switching on and on, radio was running even though vehicle was locked and switched off, read out and delete error log, THD 106403288 created, carried out according to THD software update, check radio, OK"
DAB RADIO BLUETOOTH,DEFECT,TERMINAL,2,144.24,COMPLAINT RADIO CUT OUT CAUSE JAWLANECT WIRING RUBBED SOLUTION CLEAN JAWLANNECT WIRING
DAB RADIO BLUETOOTH,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,88,"RECL Radio always goes on and off, repair according to diagnosis REASON Radio defective - replaced CORRECTION RADIO A-E"
DAB RADIO BLUETOOTH,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,1283.75,COMPLAINT Inspect vehicle for RADIO resets and reverse camera resets twice a day CAUSE Faulty Radio Replaced by sublet = $1950.00 CORRECTION Checked over Radio wiring and connectors okay Ran other supply to over come fault Replaced Complete new radio unit by sublet
BLUETOOTH RADIO,BLOCKAGE,RADIO,0,16.205816,"COMPLAINT THE RADIO DOES NOT RESPOND TO THE ""BUTTONS"", BLOCKED SOFTWARE, RESET AND SOFTWARE UPLOAD CPRZ THE RADIO DOES NOT RESPOND TO THE ""BUTTONS"", BLOCKED SOFTWARE, RESET AND SOFTWARE UPLOAD CORRECTION THE RADIO DOES NOT RESPOND TO THE ""BUTTONS"", BLOCKED SOFTWARE, RESET AND SOFTWARE UPLOAD"
BLUETOOTH RADIO,BLOCKAGE,RADIO,0,149.903802,"COMPLAINT the radio hangs up and turns off while driving, repair the installation and update the radio CPRZ the radio hangs up and turns off while driving, repair the installation and update the radio CORRECTION the radio hangs up and turns off while driving, repair the installation and update the radio"
BLUETOOTH RADIO,DEFECT,RADIO,0,7.6,COMPLAINT Radio is malfunctioning. CAUSE Software update required. CORRECTION The error does not occur after a software update.
BLUETOOTH RADIO,"CONTROL,VERIFICATION",RADIO,1,328.66,"RECL RADIO CANNOT BE OPERATED VIA MULTIFUNCTION STEERING WHEEL REASON WIRING FAULTY CORRECTION WIRING CHECKED AND MEASURED, CONNECTORS AND PINS CHECKED, CONNECTIONS CHECKED, NEW RADIO CONNECTED - NO CHANGE, RADIO REPROGRAMMED, FUNCTION CHECKED - OK"
SD CARD MAPS & NAVIG.,DEFECTIVE CONTACTS,KIT,1,397.081397,"COMPLAINT SAT NAV NOT WORKING CAUSE CHECKED WITH EASY, CARRIED OUT UPDATE, CHECKED WIRING, OK, ELECTRICAL FAULT WITH NAV CARD CORRECTION REPLACED CARD"
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,420.64375,COMPLAINT SAT NAV NOT WORKING CORRECTLY CAUSE INTERNAL FAULT IN SD CARD OPEN CIRCUIT CORRECTION FITTED NEW SD CARD AND CARRIED OUT SOFTWARE UPDATE. CHECKED OPERATION OK. 003- EXTRA LABOUR CLAIMED AS COULD NOT LOCATE SRT FOR REPLACING SD CARD AND PROGRAMMING
SD CARD MAPS & NAVIG.,DEFECT,KIT,1,381.975,COMPLAINT Investigate GPS not working CAUSE Found SD card defective not reading CORRECTION Investigate maps not working on infotainment system Maps not working Carried out infotainment update Maps still not working Found SD card defective Removed SD card Fitted new SD card Test operation All ok
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,402.01875,COMPLAINT SAT NAV INTERMITTENTLY WORKING CAUSE INTERNAL FAULT IN SD CARD CORRECTION REMOVED AND REPLACED CARD TESTED OK. 003 - EXTRA LABOUR CLAIOMED AS COULD NOT LOCATE SRT TO REPLACE SD CARD.
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,323.19375,COMPLAINT Sat nav not working CAUSE internal short in navigation card CORRECTION SD card ordered 19/07/2021 unable to update card cannot read any information card corupt replaced sat nav card system works correctly late claim have wpa
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,421.69375,"COMPLAINT NAVIGATION SYSTREM NOT HOLDING SETTINGS CAUSE OPEN CIRCUIT IN SD CARD AND REQUIRED SOFTWARE UPDATE CORRECTION CHECKED NAVIGATION OPERATION, SET AND CHECKED NOT HOLDING SETTINGS. CARRIED OUT SIFTWARE UPDATE TO ALLEVIATE AND OPREVENT MEMORY ISSUE, CHECKED SD CARD , REMOVED SD CARD FROM STOCK VEHICLE NAD TESTED SET AND FOUND HOLDING. SUPPLIED AND FITTED NEW SD CARD, RECHECKED SETTING ALL OK EXTRA LABOUR CARRY OUT UPDATE 2 WU CHECK SETTINGS 2 WU SWAP SD CARD S 2 WU FIT NEW SD CARD 1 WU"
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,323.19375,COMPLAINT Check sat nav not working CAUSE Faulty sat. navigation SD card CORRECTION Removed and replaced SD card checked navigation system all ok.
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,KIT,1,430.33125,COMPLAINT Check sat nav inop CAUSE corrupt sd card CORRECTION tested sd card and found it was faulty replaced sd card and updated radio No SRT used extra labour as below Diagnose fault with SD card 4 units Replace sd card 2 units
SD CARD MAPS & NAVIG.,DEFECT,KIT,1,502.05,"COMPLAINT SAT NAV INOP CAUSE INTERNAL OPEN CIRCUIT IN SD CARD CORRECTION CHECKED FUSES AL OK, TESTED SAT NAV UNIT ALL OK. CHECKED WIRING AND CONNECTIONS FIR ANY OPEN CIRCUITS ALL GOOD. SUPPLIED AND FITTED TEST SD CARD FIUND WORKING. ORDERED , SUPPLIED AND FITTED NEW SD CARD, TESTED OPERATION A OK EXTRA LABOUR CHECK FUSES 1 WU TEST SAT NAV UNIT 2 WU CHECK WIRING AND CONNECTIONS 8 WU FIT AND TEST, DONOR SD CARD 2 WU SUPPLY, FIT AND TEST NEW SD CARD 2 WU"
SD CARD MAPS & NAVIG.,DEFECT,MONITOR,0,9.630873,COMPLAINT Navigation does not work properly CPRZ No up-to-date navigation map CORRECTION Navigation update
SD CARD MAPS & NAVIG.,"CONTROL,VERIFICATION",MONITOR,0,42.697674,COMPLAINT Sat Nav update CAUSE Update CORRECTION Connect easy and update sat/nav
SD CARD MAPS & NAVIG.,INTERFERENCE,MONITOR,0,6.6,COMPLAINT Malfunctioning of the navigation CAUSE New NIS software needed - KA000005707 CORRECTION Installation of new software
SD CARD MAPS & NAVIG.,NO WARNING,MONITOR,0,279.56,COMPLAINT HI CONNECT DOES NOT START. APPLY KNOWLEDGE ARTICLE KA000004903 TO UPDATE NIS. CAUSE HI CONNECT DOES NOT START. APPLY KNOWLEDGE ARTICLE KA000004903 TO UPDATE NIS. SOLUTION HI CONNECT DOES NOT START. APPLY KNOWLEDGE ARTICLE KA000004903 TO UPDATE NIS.
SD CARD MAPS & NAVIG.,MISFIRE,MONITOR,0,34.65,COMPLAINT fault radio jumps on automatically at night CAUSE is in the control box CORRECTION Perform radio update
SD CARD MAPS & NAVIG.,SHORT CIRCUIT,DUMMY MATERIAL FOR CAUSAL PART,0,225,COMPLAINT unable to activate sat nav gps CAUSE License issue on UDT CORRECTION raised a THD case 105923790 ewa from THD connected Through teamviewer found license issue fixed license issue with ewa Used 2 coin see attachment @ 63 euro each No SRT used extra labour see attached clocking
SD CARD MAPS & NAVIG.,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,20,"COMPLAINT SD CARD NOT ACTIVATED CAUSE SD CARD READ FAILURE CORRECTION FOUND INOPERATIVE. CARRIED OUT UPDATE OF THE SYSTEM. STILL NO OPERATION. TESTED ANOTHER SD CARD IN VEHICLE SYSTEM - WORKED CORRECTLY. NEEDS NEW SD CARD. CUSTOMER TRAVELLING THROUGH THE AREA, WILL GET REPAIRED BY LOCAL DEALER AS PART IS NOT IN STOCK."
MICROPHONE,DEFECTIVE CONTACTS,DIODE PLATE,3,582.1,DAMAGE TYPE MICROPHONE FAILURE ADVERTISEMENTS CAUSE 504052695 DIODE HOLDER ON CENTER CORRECTION 552214116 S-R LEFT CABIN WINDSCREEN PILLAR COVERING 552215100 S-R CABIN ROOF COVERING 553626100 S-R ECONOMY FUSE COMPARTMENT DOOR AUDIO AMPLIFIER POWER VER.+POWER VER.AND GROUND ON FUSE+FUSE REPLACEMENT+BEAT POWER CABL.AND CONTINUITY FROM MICROPHONE TO AMPLIFIER UP TO SPEAKER + REPL.DIODES ON DC WIRING + RESET SOLDERING OF CONTACTS ON MICROPHONE INTERNAL BOARD 766160400 VISUAL CHECK THAT THE ELECTRICAL SYSTEM IS WORKING 552211100 S-R DASHBOARD COVERS 281022104 S-R MICROPHONE 281023104 S-R MICROPHONE WIRING
MICROPHONE,DEFECT,ROOF LIGHT,0,27.3,COMPLAINT Radio + phone handsfree dosent operation. CAUSE Phone handsfree microphone defective contacts. CORRECTION R-I roof light (included Phone handsfree microphone) + Phone handsfree microphone repair. Economy: Phone handsfree microphone repair.
MICROPHONE,DEFECT,ROOF LIGHT,1,102.68,"COMPLAINT /Fault in hands-free, diagnosis/performed and found that/microphone is defective./this is integrated in/roof light unit./this completely replaced. CAUSE DEFECT CORRECTION /FITTING INTERIOR LIGHTING C/MICROPHONE U-I/ELECTRIC INST VISUAL CTR."
MICROPHONE,DEFECTIVE CONTACTS,ROOF LIGHT,1,118.9,RECL Microphone for hands-free system not working REASON microphone is displayed as defective in the error log. CORRECTION MICROPHONE A-E
MICROPHONE,DEFECT,ROOF LIGHT,1,77.1,"complaint Non-functioning microphone for handsfree ref. faulty microphone repair connection check - OK, replacement of the microphone"
MICROPHONE,DEFECTIVE CONTACTS,ROOF LIGHT,0,67.6,RECL Microphone of the hands-free system is not working REASON Plug connection of the microphone does not have proper contact CORRECTION Troubleshooting with UDT guided procedure carried out and plug contacts on the plug connection correctly connected
MICROPHONE,DEFECT,ROOF LIGHT,1,79.995526,"COMPLAINT THE MICROPHONE DOES NOT WORK, DURING A CONVERSATION YOU CANNOT HEAR CPRZ INTERNAL MICROPHONE DAMAGE CORRECTION CHECK THE ELECTRICAL INSTALATION FOR THE MICROPHONE + REPLACEMENT OF THE CEILING LAMP WITH MICROPHONE"
MICROPHONE,LOW OUTPUT/EFFICIENCY,ROOF LIGHT,1,259.05,RECLASS HANDS-FREE SYSTEM NOT WORKING - THE CALLER CAN BE HEARED BUT THE DRIVER CAN NOT BE HEARD REASON HANDS-FREE SYSTEM NOT WORKING - THE CALLER CAN BE HEARED BUT THE DRIVER CAN NOT BE HEARD CORRECTION HANDS-FREE SYSTEM NOT WORKING - THE CALLER CAN BE HEARED BUT THE DRIVER CAN NOT BE HEARD ++++ replace ceiling light including microphone
MICROPHONE,NOT ASSEMBLED,ROOF LIGHT,1,246.2,COMPLAINT HANDS-FREE CALLING DOES NOT WORK. DIAGNOSIS COMPLETED. MICROPHONE IS NOT MOUNTED IN INTERIOR LIGHT UNIT. CAUSE NOT MOUNTED CORRECTION HANDS-FREE CALLING DOES NOT WORK. DIAGNOSIS COMPLETED. MICROPHONE IS NOT MOUNTED IN INTERIOR LIGHT UNIT.
MICROPHONE,BURNT-OUT,ROOF LIGHT,1,140.7,RECL Radio microphone shows error. REASON Radio microphone checked. Defect a+e ern CORRECTION MICROPHONE A-E
MICROPHONE,DEFECTIVE CONTACTS,ROOF LIGHT,1,121.66,RECL The radio's microphone is showing an error. REASON The radio's microphone is not working CORRECTION MICROPHONE A-E
MICROPHONE,INCORRECT ASSEMBLY,ROOF LIGHT,2,355.31,"RECL After changing drivers, the customer noticed that the hands-free system (microphone) was not working. REASON Microphone not connected to the NIS. Cable attached with cable ties to the cable harness behind the dashboard. CORRECTION Diagnosis with UDT. Fault found in the electrical system. Wiring checked, connection pins for the microphone searched, wiring checked."
MICROPHONE,DEFECT,ROOF LIGHT,1,77.1,"complaint Malfunctioning microphone in the cabin defective microphone repair Connection check, microphone replacement incl. lights"
MICROPHONE,SHORT CIRCUIT,ROOF LIGHT,1,97.88,DAMAGE TYPE BLUETOOT DOES NOT WORK CAUSE MICROPHONE SHORT CIRCUIT CORRECTION S/R CEILING LIGHT FOR REPLACEMENT
MICROPHONE,DEFECT,ROOF LIGHT,1,313.91421,"COMPLAINT the microphone does not work. CAUSE the microphone in the ceiling lamp does not work. CORRECTION radio removed, in order to measure the connector behind the unit. ceiling lamp removed, so that the wires between the lamp and the radio could be measured. check clamp damage to the microphone wiring from the roof of the cabin down to the radio. ceiling lamp replaced-"
MICROPHONE,DEFECT,ROOF LIGHT,1,140.04,RECL Microphone not working REASON Microphone defective CORRECTION Microphone checked and replaced
MICROPHONE,DEFECTIVE CONTACTS,ROOF LIGHT,1,115.96,"COMPLAINT DURING CAR KIT USE: CUSTOMER CANNOT BE UNDERSTOOD BY THE OPPOSITE PARTY CAUSE DEFECTIVE CONTACTS/CONNECTION CORRECTION WIRING CHECKED, THIS WAS ALL GOOD, COMPLETE INSIDE LIGHT REPLACED AND TRIED AGAIN, NOW I WAS UNDERSTOOD. DIAGNOSTICS E NIS CONTACTS CONNECTIONS ELECTRICAL INSTALLATION TESTING MICROPHONE U-I"
MICROPHONE,MISFIRE,NEW INFOTAIN. SYSTEM,0,16.2,COMPLAINT VOICE NAVIGATION NOT WORKING CAUSE IRREGULAR OPERATION CORRECTION VOICE NAVIGATION NOT WORKING. CHECKED THIS. WIRE MICROPHONE IS LOOSE
WIRING,NO WARNING,WIRE/CABLE,2,584.67,RECL Rear view camera not working REASON Rear view camera cables were not installed CORRECTION Rear view camera cables were re-installed
WIRING,CRACKED,MOTOR HARNESS,2,1022.36,"DAMAGE TYPE Customer complains of irregular engine and engine light on. CAUSE After diagnosis, a fault is found on the 1st and 2nd cylinder. After a further check, an anomaly is recorded on the engine wiring with the coil cables 1 and 2 cracked, causing the ECU electronics to break. CORRECTION Replacement of engine ECU and engine wiring"
WIRING,CRACKED,MOTOR HARNESS,2,1087.68,"DAMAGE TYPE Customer complains of irregular engine and engine light on CAUSE After diagnosis, a failure appears on the first cylinder and a fault on the gas injector of the third cylinder. After further inspection, an anomaly is found on the engine wiring with cracked coil 1 cables, causing the breakage of the ECU electronics. CORRECTION Replacement of engine wiring and ECU"
WIRING,DEFECTIVE CONTACTS,EXTENSION,2,337.03,"RECL Radio has poor reception REASON Connection cable to DAB antenna was damaged during installation CORRECTION Panels dismantled, cables and plugs checked and measured, connection cable to DAB antenna replaced"
WIRING,SHORT CIRCUIT,EXTENSION,2,237.72,DAMAGE TYPE MICROPHONE DOES NOT WORK CAUSE SHORT CIRCUIT IN THE WIRING CORRECTION I PERFORM THE DAB DIAGNOSIS AND NOTICE THAT THE WIRING IS SHORT CIRCUIT AND I AM REPLACING IT UNDER WARRANTY
WIRING,NOT ASSEMBLED,WIRE/CABLE,0,316.407505,"COMPLAIN Microphone not working CAUSE Microphone plug was not installed from the factory CORRECTION Ceiling lamp, sun visor, glove compartment, handle and A-pillar trim removed and attached, Display and microphone removed and attached. Guided procedure, troubleshooting, measurement = economy Plug installed"
WIRING,DEFECT,WIRE/CABLE,4,699.48,"RECL Hands-free system microphone not working REASON Cable harnesses for radio/microphone no continuity CORRECTION Storage above windscreen and dashboard A-E, cable harnesses for radio/microphone replaced"
WIRING,DEFECTIVE CONTACTS,WIRE/CABLE,3,790.19,"RECL Hands-free system not working REASON Cable break in the cable set CORRECTION found, UDT station, diagnosis radio, roof and pillar trim, remove/install interior light and radio, disconnect battery, remove/install micro and wiring, replace cable set, erase memory"
WIRING,DUST INFILTRATION,DUMMY MATERIAL FOR CAUSAL PART,0,162.5,"COMPLAINT Reverse camera not working Rear not not closing correctly CAUSE Bad connection CORRECTION Diagnose fault with reversing camera. Find bad connection in camera at rear of van causing problem. Clean plug and reconnect plug. Test, all test ok. Clean and lube door latch cables. Adjust latches due to rear doors not latching closed. Return vehicle to customer. Total time claimed 2 hours"
SIGNAL TRANSFER BOX,DEFECT,AERIAL (ACCESS.),3,269.731,"COMPLAIN Tachograph error CAUSE Defective GPS antenna CORRECTION Troubleshooting the tachograph. Extracted error codes, failure code 84. Checked cables and connections to antenna, ok. Found antenna and cable defective. Changed antenna and tested ok. Added -e time for debugging and testing for which there is no SRT."
MANAGEMENT CONTROL UNIT,BLOCKAGE,RADIO,0,99.3,COMPLAINT failure NIS goes off and on again during a call CAUSE software adjustment NIS CORRECTION diagnose errors read and cleared wiring and connectors checked THD106612152 update NIS according to KA4903 performed
MANAGEMENT CONTROL UNIT,DEFECT,MONITOR,0,22.910515,"COMPLAINT RADIO DOES NOT WORK CPRZ FAULTY FACTORY ECU SOFTWARE NIS CORRECTION DIAGNOSTICS, PROGRAMMING - UPDATE NIS ACCORDING TO KNOWLEDGE BASE ARTICLE KA000005707"
MANAGEMENT CONTROL UNIT,DEFECT,MONITOR,0,13.091722,"COMPLAINT RADIO DOES NOT WORK CPRZ FAULTY FACTORY ECU SOFTWARE NIS CORRECTION ANTENNA WIRE REVIEW, PROGRAMMING-UPDATE NIS ACCORDING TO KNOWLEDGE BASE ARTICLE KA000005707"
MANAGEMENT CONTROL UNIT,BLOCKAGE,ECU-BODY COMPUTER,0,188.6,"RECL Vehicle does not start. Engine is running. Icon for immobilizer in cluster active REASON Unknown (Claim 202100922369) CORRECTION Troubleshooting electrical system. Diagnosis with UDT. Wiring to various control units checked, contacts checked, etc. Ground connections checked and tightened."
MANAGEMENT CONTROL UNIT,DEFECT,MONITOR,0,6.545861,COMPLAINT UPDATE NIS BY KA000005707 CPRZ UPDATE NIS BY KA000005707 CORRECTION UPDATE NIS BY KA000005707
MANAGEMENT CONTROL UNIT,DEFECT,MONITOR,0,13.091723,COMPLAINT RADIO DOES NOT WORK CPRZ FAULTY FACTORY ECU (ELECTRONIC CONTROL UNIT) NIS SOFTWARE CORRECTION PROGRAMMING NIS UPDATE ACCORDING TO KNOWLEDGE BASE ARTICLE KA000005707
ELECTRONIC SYSTEM,DEFECTIVE CONTACTS,WIRE CONNECTOR,0,209.009008,RECL AEBS-LDW error active in the display. REASON Plug connection not connected.. CORRECTION Determine the cause of the error. Read and delete the error memory using the Easy test device. Carry out various current and voltage measurements. Insert the plug correctly. Functional check with a longer test drive. (-E)
ELECTRONIC SYSTEM,MISFIRE,MONITOR,1,178.65,COMPLAINT CAR AND MULTI-MEDIA CONNECTION FREQUENTLY DROPS. CAUSE IRREGULAR OPERATION CORRECTION CAR AND MULTI-MEDIA CONNECTION FREQUENTLY DROPS. DIAGNOSIS MADE AND CONNECTIONS CHECKED. HI-CONNECT REPROGRAMMED WITH THE EASY. THIS COST 1 COIN.
ELECTRONIC SYSTEM,DEFECT,MONITOR,0,470.270269,"RECL RADIO SUDDENLY HAS NO DAB RECEPTION - - RADIO DEVICE SUDDITCHES OFF AND THEN HAS TO BE RESTARTED - (JAWLA LOGO THEN APPEARS ON THE DISPLAY) - - ROUTE FROM THE SATELLITE SUDDENLY FALLS REASON Software faulty according to Jawla CORRECTION Read out error memory, work through guided procedure, create THD , carry out various diagnoses according to THD, software faulty, update twice because the one update from Jawla was faulty"
TELEMATICS CONTROL UNIT,DEFECT,KIT,2,439.17,"COMPLAINT NAVI NOT WORKING CAUSE ECU DEFECT CORRECTION DIAGNOSIS, CHECK OPERATION, WIRING, FUSES, ANTENNA, NAVI => NAVI DEFECT => REPLACE ECU AND TEST => OK"
TELEMATICS CONTROL UNIT,LOW OUTPUT/EFFICIENCY,ECU REMANUFACTURED,0,20.54,RECL Navi not working REASON Head unit not working CORRECTION Head unit update carried out
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU REMANUFACTURED,3,1308.83,"RECL Navigation not working REASON Navigation device internally defective and SD card not readable CORRECTION Error read out and fault finding, raw SD card installed to test functionality - without success; central electrics (radio/navigation) replaced and programmed, SD card replaced"
TELEMATICS CONTROL UNIT,DEFECT,ECU REMANUFACTURED,3,1103.48,"INCIDENT GPS DOES NOT WORK CAUSE GPS UNIT FAULTY SOLUTION SEARCH FOR ORIGIN OF FAULT CHECK POWER SUPPLY HARNESS CENTRAL REMOVAL OF CD PLAYER BOX, GPS. REPLACEMENT AND REPLACEMENT OF GPS CARD TEST: OK"
TELEMATICS CONTROL UNIT,DEFECT,ECU-EXPANSION MODULE,1,1825.297298,"RECL Power take-off does not work REASON Expansion module control unit internal fault / adjust parameters CORRECTION Carry out diagnosis as specified, replace expansion module, adjust parameters"
TELEMATICS CONTROL UNIT,MISFIRE,RIGHT SIDE PANEL,1,109.26,COMPLAINT HI CONNECT INDICATED AS REPLACEMENT BECAUSE IT OCCASIONALLY FAILS. THIS WAS DONE WITH UDT. CAUSEIRREGULAR OPERATION CORRECTION HI CONNECT INDICATED AS REPLACEMENT BECAUSE IT OCCASIONALLY FAILS. THIS WAS DONE WITH UDT.
TELEMATICS CONTROL UNIT,DEFECTIVE CONTACTS,BACKUP BATTERY,1,172.2,"COMPLAINT PCM FAILURE WARNING LIGHT IN MEMORY. CAUSE FAULTY CONTACTS IN THE CONTROL UNIT. SOLUTION PERFORM PCM CONTROL UNIT DIAGNOSIS, REPLACE EXTERNAL BATTERY. PERFORM PROGRAMMING OF THE PCM MODULE AFTER REPLACEMENT."
TELEMATICS CONTROL UNIT,DEFECTIVE CONTACTS,BACKUP BATTERY,1,286.27,RECL EMERGENCY BATTERY FAULT DETERMINE AND CORRECT REASON EMERGENCY BATTERY DEFECTIVE CORRECTION EMERGENCY BATTERY REPLACED
TELEMATICS CONTROL UNIT,LOW OUTPUT/EFFICIENCY,BACKUP BATTERY,1,259.51,RECL AEBS error is displayed Read error memory and correct error REASON Display: Buffer battery in PCM module has low voltage CORRECTION Buffer battery replaced
TELEMATICS CONTROL UNIT,DEFECT,BACKUP BATTERY,1,177.53,DAMAGE TYPE PCM WARNING LIGHT ON CAUSE BUFFER BATTERY DEFECTIVENESS DETECTED FOLLOWING DIAGNOSIS CORRECTION REPLACE BUFFER BATTERY
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,5,1177.59,"INCIDENT CAMPAIGN 05T / NO MORE RADIO / AD BLUE LIGHT CAUSE CAMPAIGN 05T / SHORT CIRCUIT CAR RADIO / SHORT CIRCUIT UR NOX SENSOR SOLUTION CAMPAIGN 05TRANGLE SEARCH VIA DIAG + RESET IVCONNECT CAR RADIO OPERATION / POWER SUPPLY CHECK / CAR RADIO REPLACEMENT WITH SOUND D-R ENVIRONMENTAL TROUBLESHOOTING ON ADBLUE SYSTEM / CHECK OF MASSES, POWER SUPPLIES, SENSORS, MODULES AND AD BLU CIRCUIT TEST AFTER REPAIR OK"
TELEMATICS CONTROL UNIT,DEFECTIVE CONTACTS,ECU RADIONAVIGATOR,1,949.37,COMPLAINT NAVI NO FUNCTION CAUSE TELEMATICS SCHADH CONTACT CORRECTION TELEMATICS ERS
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,3,1195.55,"COMPLAIN Sometimes it is not possible to turn on the built-in radio after engaging the reverse gear the image is not visible on the display CAUSE ,SHORT CIRCUIT CORRECTION diagnostics, jawlannect control unit fault detected, d-m hi-connect data control units, jawlannect diagnostics, car radios, automatic teleprogramming, electrical repair installation, update"
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,2083.425,"COMPLAINT Navigation system not operational. CAUSE Internal failure in head unit, short circuit. CORRECTION Turn on starter key and checked navigation system operation. Nav not working. Software updat radio navigation. No difference. Removed SD card and updated SD card through Navi extras. Nav still not operating. Removed sd card and tested on another vehicle. SD card functioning as it should. Internal fault in head unit. Sourced new ecu-navigation system. Fitted new radio-nac system and programmed using 1 coin. Tested operation - okay"
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,1122.702703,INCIDENT THE RADIO RESETS ITSELF CAUSE FAULTY JAWLANNECT SOLUTION REPLACE THE JAWLANNECT
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,0,58.75,COMPLAINT MULTIMEDIA UNIT DROPPING OUT AND GOING BLANK CAUSE JAWLANNECT HEAD UNIT COMMUNICATION ERRORS INTERNAL FAULTS CORRECTION PLUG IN EASY AND READ CODES FOUND LVDS COMMUNICATION ERROR CODES BETWEEN HEADUNIT AND SCREEN. CHECK ALL CONNECTORS OK. REPLACED HEAD UNIT AND PROGRAM NEW HEAD UNIT 1 X COIN TEST UNITS - NO FAULTS.
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,2,2384.65,COMPLAINT REVERSE CAMERA NOT STAYING ON. CAUSE INTERNAL FAULT IN UNIT 00011 - JAWLA COIN X 1 USED FOR PROGRAMMING CORRECTION CHECKED CONFIRMED CAMERA DROPPING OUT AND CLOCK SETTING ERRATIC FOUND UNIT UP TO DATE WITH SOFTWARE INTERNAL FAULT IN UNIT. REMOVED AND REPLACED UNIT PROGRAMMED TO VEHICLE AS REQUIRED TESTED OPERATIONS FOUND SAT NAV NOT RESPONDING TRIED KNOWN GOOD SD CARD FROM ANOTHER VEHICLE FOUND SYSTEM TO NOW OPERATE. REMOVED AND REPLACED SD CARD TEST OPERATION OK.
TELEMATICS CONTROL UNIT,INCORRECT ADJUSTMENT,ECU RADIONAVIGATOR,0,82.72,"COMPLAIN The customer complains about problems with the microphone (when calling it cannot be heard) and the navigation targets are automatically deleted CAUSE Out-of-date car radio software, radio connection check, audio input control, car radio diagnostics CORRECTION update of current software 3108 - 509 via key"
TELEMATICS CONTROL UNIT,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,2081.425,COMPLAINT NAVMAN NOT SAVING INFO. CAUSE INTERNAL FAULT IN JAWLANNECT UNIT CORRECTION NAVMAN NOT SAVING INFO. CHECKED SOFTWARE VERSION FOUND TO BE UP TO DATE. CHECKED SD CARD IN KNOWN GOOD VEHICLE FOUND MAPS WORKING FINE. CHECKED AGAIN IN VEHICLE UNABLE TO LOAD MAPS INTERNAL FAULT I JAWLANNECT UNIT. REMOVED AND REPLACED UNIT TESTED OPERATION OK
